response_id,student_year,major_group,rating,response_text
1,Freshman,STEM,3,"I get overwhelmed when I have multiple exams in the same week."
2,Sophomore,Social Science,4,"Studying with friends helps me, but it is hard to coordinate schedules."
3,Junior,STEM,2,"I spend too much time rewriting notes and not enough time practicing problems."
4,Senior,Humanities,5,"Office hours are helpful, but I wish they were offered later in the day."
5,Junior,STEM,2,"I procrastinate because I do not always know where to start."
6,Freshman,Business,3,"I feel like I have a lot of assignments but no clear plan for managing them."
7,Sophomore,STEM,2,"Practice exams help the most, but some classes do not provide enough of them."
8,Junior,Social Science,4,"I learn better when lectures include examples instead of only slides."
9,Senior,STEM,3,"I get stressed when exams are worth a huge part of the grade."
10,Freshman,Humanities,4,"I wish there were more study guides before midterms."
11,Sophomore,Business,3,"I usually understand the topic in class but forget it when studying alone."
12,Junior,STEM,2,"My biggest issue is time management because I wait too long to start studying."
13,Senior,Social Science,5,"Group study sessions make me feel more confident before exams."
14,Freshman,STEM,3,"It is hard to balance homework, labs, and studying for exams."
15,Sophomore,Humanities,4,"I like when professors explain what topics are most important."
16,Junior,Business,2,"I feel burned out when I have back-to-back deadlines."
17,Senior,STEM,3,"I need more practice problems with solutions to check my work."
18,Freshman,Social Science,4,"I feel more motivated when I study with other people."
19,Sophomore,STEM,2,"Sometimes I do not know if I am studying the right material."
20,Junior,Humanities,5,"Clear rubrics and examples make assignments much easier to complete."
21,Senior,Business,3,"I struggle with staying focused for long periods of time."
22,Freshman,STEM,2,"I get anxious before exams even when I studied."
23,Sophomore,Social Science,4,"Review sessions are helpful, especially when they go over common mistakes."
24,Junior,STEM,3,"I wish classes gave more reminders about upcoming deadlines."
25,Senior,Humanities,4,"Breaking assignments into smaller parts helps me manage my time."
26,Freshman,Business,3,"I have trouble figuring out which tasks to prioritize first."
27,Sophomore,STEM,2,"I feel behind when lectures move too fast."
28,Junior,Social Science,5,"Study groups help me stay accountable and ask questions."
29,Senior,STEM,3,"I need better strategies for remembering formulas and concepts."
30,Freshman,Humanities,4,"I like when professors provide example answers or sample essays."